id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes	source
PXD060055	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD060055; files/all n=18	Q0	10	Nicotiana tabacum (common tobacco)	18	6	raw	DDA	LFQ	Orbitrap Exploris 480	yes	yes	sdrf-plants_BP.sdrf.tsv	simple	6	ms-proteomics	none_in_pride	no	deposited: sdrf-plants_BP.sdrf.tsv	new
PXD066589	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066589; files/all n=19	Q0	10	Gallus gallus (chicken)	19	6	raw	DDA	LFQ	Q Exactive	yes	yes	SDRF.tsv	simple	6	ms-proteomics;vertebrates	none_in_pride	no	deposited: SDRF.tsv	new
PXD066627	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066627; files/all n=11	Q0	10	Homo sapiens (human)	11	6	raw	DIA	LFQ	Orbitrap Fusion Lumos	yes	yes	sdrf-cell-line.sdrf.tsv	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	deposited: sdrf-cell-line.sdrf.tsv	new
PXD066779	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066779; files/all n=18	Q0	10	Synechocystis sp. (strain pcc 6803 / kazusa);Bacteria	18	6	raw	DIA	LFQ	Q Exactive HF	yes	yes	sdrf.csv	simple	6	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf.csv	new
PXD068894	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD068894; files/all n=96	Q0	10	Rhyparobia maderae	96	6	raw	DIA	LFQ	Q Exactive Plus	yes	yes	sdrf_complete.tsv	simple	6	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf_complete.tsv	new
PXD062176	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD062176; files/all n=14	Q0	9	Homo sapiens (human)	14	6	raw	unknown	LFQ	Orbitrap Fusion Lumos	yes	yes	sdrf.tsv	simple	6	ms-proteomics;human	none_in_pride	no	deposited: sdrf.tsv	new
PXD039580	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD039580; files/all n=12	Q0	8	Homo sapiens (human)	12	6	raw	DIA	TMT/iTRAQ/SILAC	Q Exactive HF	yes	yes	sdrf-silac_Hela_SILAC_benchmark_DDA.txt	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	deposited: sdrf-silac_Hela_SILAC_benchmark_DDA.txt	new
PXD040248	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD040248; files/all n=16	Q0	8	Aquifex aeolicus	16	6	raw	DDA	unknown	Q Exactive	yes	yes	SDRF_Lebrun_Guiral.xlsx	simple	6	ms-proteomics	none_in_pride	no	deposited: SDRF_Lebrun_Guiral.xlsx	new
PXD046605	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD046605; files/all n=10	Q0	8	Chlamydomonas reinhardtii	10	6	raw	DDA	TMT/iTRAQ/SILAC	Orbitrap Fusion Lumos	yes	yes	sdrf.docx	simple	6	ms-proteomics	none_in_pride	no	deposited: sdrf.docx	new
PXD046638	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD046638; files/all n=14	Q0	8	Desulfovibrio vulgaris str. hildenborough	14	6	raw	DDA	unknown	Q Exactive	yes	yes	SDRF_DesignExperiment_Lebrun.xlsx	simple	6	ms-proteomics	none_in_pride	no	deposited: SDRF_DesignExperiment_Lebrun.xlsx	new
PXD048514	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD048514; files/all n=23	Q0	8	Enterocloster bolteae atcc baa-613;Bacteria	23	6	raw	unknown	unknown	Orbitrap Fusion	yes	yes	sdrf-eb-dsm-15670.tsv	simple	6	ms-proteomics	none_in_pride	no	deposited: sdrf-eb-dsm-15670.tsv	new
PXD051470	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD051470; files/all n=57	Q0	8	Mus musculus (mouse)	57	6	raw	DDA	TMT/iTRAQ/SILAC	Orbitrap Fusion Lumos	yes	yes	sdrf.tsv	simple	6	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf.tsv	new
PXD057602	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD057602; files/all n=11	Q0	8	Sulfolobus islandicus rey15a	11	6	d.zip	DDA	unknown	timsTOF Pro	yes	yes	SDRF.txt	simple	6	ms-proteomics	none_in_pride	no	deposited: SDRF.txt	new
PXD062195	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD062195; files/all n=14	Q0	8	Homo sapiens (human)	14	6	raw	DDA	unknown	Orbitrap Exploris 480	yes	yes	sdrf.tsv	simple	6	ms-proteomics;human	none_in_pride	no	deposited: sdrf.tsv	new
PXD063758	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD063758; files/all n=25	Q0	8	Brucella melitensis b115	25	6	raw	DDA	unknown	Q Exactive	yes	yes	SDRF.xlsx	simple	6	ms-proteomics	none_in_pride	no	deposited: SDRF.xlsx	new
PXD069014	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD069014; files/all n=10	Q0	8	Arabidopsis thaliana (mouse-ear cress)	10	6	raw	unknown	unknown	Q Exactive	yes	yes	SDRF.tsv	simple	6	ms-proteomics;plants	none_in_pride	no	deposited: SDRF.tsv	new
PXD069282	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD069282; files/all n=20	Q0	8	Mus musculus (mouse)	20	6	raw	unknown	TMT/iTRAQ/SILAC	Q Exactive HF-X	yes	yes	sdrf.tsv	simple	6	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf.tsv	new
PXD077887	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD077887; files/all n=31	Q0	8	Homo sapiens (human)	31	6	raw	unknown	unknown	Orbitrap Eclipse	yes	yes	sdrf.tsv	simple	6	ms-proteomics;human	none_in_pride	no	deposited: sdrf.tsv	new
PXD023801	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD023801; files/all n=60	Q0	10	Naja ashei	60	7	raw	DDA	LFQ	Q Exactive	yes	yes	sdrf.tsv	simple	7	ms-proteomics	none_in_pride	no	deposited: sdrf.tsv	new
PXD074506	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD074506; files/all n=14	Q0	10	Sus scrofa domesticus (domestic pig)	14	8	raw	DIA	LFQ	LTQ Orbitrap Elite	yes	yes	SDRF.txt	simple	8	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	deposited: SDRF.txt	prior
PXD037850	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD037850; files/all n=15	Q0	10	Labeo rohita (indian major carp)	15	8	raw	DDA	LFQ	Orbitrap Fusion	yes	yes	SDRF_Ah_Gut_rohu.txt	simple	8	ms-proteomics	none_in_pride	no	deposited: SDRF_Ah_Gut_rohu.txt	new
PXD039014	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD039014; files/all n=11	Q0	10	Mus musculus (mouse)	11	8	raw	DDA	LFQ	Q Exactive Plus	yes	yes	sdrf-vertebrates.tsv	simple	8	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf-vertebrates.tsv	new
PXD044798	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD044798; files/all n=14	Q0	10	Pisum sativum (garden pea)	14	8	raw	DDA	LFQ	LTQ Orbitrap Elite	yes	yes	sdrf-pea.tsv	simple	8	ms-proteomics	none_in_pride	no	deposited: sdrf-pea.tsv	new
PXD058977	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD058977; files/all n=16	Q0	10	Abortiporus biennis	16	8	raw	DDA	LFQ	Q Exactive HF	yes	yes	sdrf.tsv;sdrf_openms_design_openms.mzTab.gz;sdrf_openms_design_msstats_in.csv.gz	simple	8	ms-proteomics	none_in_pride	no	deposited: sdrf.tsv;sdrf_openms_design_openms.mzTab.gz;sdrf_openms_design_msstats_in.csv.gz	new
PXD061467	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD061467; files/all n=34	Q0	10	Homo sapiens (human)	34	8	raw	DDA	LFQ	Orbitrap Exploris 480	yes	yes	2025-02-28-sdrf-human.sdrf.txt	simple	8	ms-proteomics;human	none_in_pride	no	deposited: 2025-02-28-sdrf-human.sdrf.txt	new
