id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD076286	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD076286; files/all n=40	Q3	6	Homo sapiens (human)	40	0		DDA	LFQ	timsTOF Pro	yes	no	mqpar_136_Sh.xml;SampleDocumentation_136_Sh.docx;SampleDocumentation_138_Sh.docx	simple	0	ms-proteomics;human	none_in_pride	no	20 archive(s); inspect the FTP listing before annotating
PXD076596	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD076596; files/all n=7	Q3	6	Homo sapiens (human)	7	0		DIA	LFQ	timsTOF Pro 2	yes	no	26-1265-Pro2_Sample01-18.sne;26-1265_20260106_Sample19_3organism.sne	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	3 archive(s); inspect the FTP listing before annotating
PXD077489	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD077489; files/all n=4	Q3	6	Homo sapiens (human)	4	0		DIA	LFQ	timsTOF Pro	yes	no	Experimental_Design.txt;DIANN_IDs_AF_CTRLs.xlsx	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
PXD077909	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD077909; files/all n=11	Q3	6	Homo sapiens (human)	11	0		DIA	LFQ	Orbitrap Fusion Lumos;timsTOF HT	yes	no	metadata_phospho.txt;metadata_abundance.txt	simple	0	ms-proteomics;human;dia-acquisition;cell-lines	none_in_pride	no	3 archive(s); inspect the FTP listing before annotating
PXD080412	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD080412; files/all n=4	Q3	6	Fungi;Peniophora incarnata	4	0		DIA	LFQ	timsTOF HT	yes	no	Sample_annotation_proteomics.xlsx	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD038040	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD038040; files/all n=5	Q3	5	Homo sapiens (human)	5	0		DIA	LFQ	Q Exactive HF	no	no	ConditionSetup.xlsx;checksum.txt;20211222_133602_FFPE-Turin-directDIA_Report.xls	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
PXD047457	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD047457; files/all n=4	Q3	5	Camelus bactrianus	4	0		DIA	LFQ	Orbitrap Fusion Lumos	no	no	Codex.xlsx;checksum.txt	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD052902	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD052902; files/all n=13	Q3	5	Canis familiaris (dog) (canis lupus familiaris)	13	0		DIA	LFQ	timsTOF Pro	no	no	Canine-Tissues-Plasma-T6-Spectral-Library-Max20-SN_18_4v_2024.QC.tsv;Canine-Tissues-Plasma-T6-Spectral-Library-Max20-SN_18_4v_2024.tsv;Canine-tissues-90min-Library-max20_Pepeport.tsv	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	7 archive(s); inspect the FTP listing before annotating
PXD055742	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055742; files/all n=4	Q3	5	Trichoderma reesei	4	0		DIA	LFQ	timsTOF HT	no	no	DIA-NN_Proteomics_Output.zip	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD056543	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD056543; files/all n=4	Q3	5	Homo sapiens (human)	4	0		DIA	LFQ	timsTOF Pro	no	no	DIANN_P4412_BiCap.zip;DIANN_4139_TurboID.zip	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	4 archive(s); inspect the FTP listing before annotating
